county,population_count,cases,date
40047,4206,8,11/6/21
40047,4083,208,11/6/21
40047,2051,97,11/6/21
40047,2148,8,11/6/21
40047,2032,111,11/6/21
40047,20515,379,11/6/21
40215,1873,1625,11/6/21
40215,1357,999,11/6/21
40215,4515,675,11/6/21
40215,1991,674,11/6/21
40215,20754,8917,11/6/21
40215,3230,2624,11/6/21
40220,4508,3708,11/6/21
40220,4266,3764,11/6/21
40220,4603,1306,11/6/21
40220,34025,21084,11/6/21
40220,2105,1306,11/6/21
40220,8774,7472,11/6/21
40177,330,181,11/6/21
40177,334,26,11/6/21
40177,1672,446,11/6/21
40177,162,75,11/6/21
40177,192,26,11/6/21
40177,168,106,11/6/21
40109,593,27,11/6/21
40109,164,14,11/6/21
40109,1842,36,11/6/21
40109,429,13,11/6/21
40214,5215,3800,11/6/21
40214,45844,22917,11/6/21
40214,7565,1797,11/6/21
40214,3649,1795,11/6/21
40214,3778,3153,11/6/21
40214,8993,6953,11/6/21
40258,3152,2474,11/6/21
40258,2499,2072,11/6/21
40258,26682,13163,11/6/21
40258,4916,1041,11/6/21
40258,2507,1041,11/6/21
40258,5651,4546,11/6/21
40210,14083,5647,11/6/21
40210,1476,420,11/6/21
40210,1668,1239,11/6/21
40210,999,1001,11/6/21
40210,3499,420,11/6/21
40210,2667,2240,11/6/21
40118,1484,365,11/6/21
40118,667,365,11/6/21
40118,778,636,11/6/21
40118,1830,1482,11/6/21
40118,9313,4248,11/6/21
40118,1052,846,11/6/21
40209,36,14,11/6/21
40209,41,79,11/6/21
40209,27,14,11/6/21
40209,34,51,11/6/21
40209,316,243,11/6/21
40209,7,28,11/6/21
40213,1840,1258,11/6/21
40213,16296,9079,11/6/21
40213,4143,2853,11/6/21
40213,2514,559,11/6/21
40213,1276,557,11/6/21
40213,2303,1595,11/6/21
40206,1031,767,11/6/21
40206,4638,3670,11/6/21
40206,2076,771,11/6/21
40206,2691,1950,11/6/21
40206,19693,12651,11/6/21
40206,1947,1720,11/6/21
40219,3402,1584,11/6/21
40219,7654,6199,11/6/21
40219,3653,3061,11/6/21
40219,40106,20304,11/6/21
40219,4001,3138,11/6/21
40219,6906,1585,11/6/21
40025,18,10,11/6/21
40025,11,36,11/6/21
40025,18,56,11/6/21
40025,31,10,11/6/21
40025,91,94,11/6/21
40025,7,20,11/6/21
40216,3652,1585,11/6/21
40216,10397,7689,11/6/21
40216,4276,3354,11/6/21
40216,6121,4335,11/6/21
40216,42029,21124,11/6/21
40216,7199,1585,11/6/21
40205,3280,2971,11/6/21
40205,24477,16500,11/6/21
40205,3529,1322,11/6/21
40205,2005,1322,11/6/21
40205,6576,5806,11/6/21
40205,3296,2835,11/6/21
40211,1974,2033,11/6/21
40211,22556,8828,11/6/21
40211,5166,696,11/6/21
40211,4162,3542,11/6/21
40211,2613,696,11/6/21
40211,2188,1509,11/6/21
40272,38095,17557,11/6/21
40272,6488,1298,11/6/21
40272,4454,3410,11/6/21
40272,4379,3065,11/6/21
40272,3496,1297,11/6/21
40272,8833,6475,11/6/21
40217,1006,380,11/6/21
40217,498,380,11/6/21
40217,1411,1169,11/6/21
40217,1139,905,11/6/21
40217,12670,7844,11/6/21
40217,2550,2074,11/6/21
40059,19886,12900,11/6/21
40059,4144,1521,11/6/21
40059,2381,2268,11/6/21
40059,2198,1515,11/6/21
40059,5151,4412,11/6/21
40059,2770,2144,11/6/21
40208,2119,1142,11/6/21
40208,4109,247,11/6/21
40208,2764,246,11/6/21
40208,768,440,11/6/21
40208,1351,702,11/6/21
40208,16036,5777,11/6/21
40225,0,25,11/6/21
40229,3116,2428,11/6/21
40229,39289,18742,11/6/21
40229,7329,1474,11/6/21
40229,6810,5233,11/6/21
40229,3665,1473,11/6/21
40229,3694,2805,11/6/21
40212,1762,495,11/6/21
40212,2034,1449,11/6/21
40212,1224,1073,11/6/21
40212,16700,6533,11/6/21
40212,3625,495,11/6/21
40212,3258,2522,11/6/21
40223,2621,2674,11/6/21
40223,2896,2996,11/6/21
40223,4443,1297,11/6/21
40223,5517,5670,11/6/21
40223,23357,15583,11/6/21
40223,2278,1293,11/6/21
40204,1668,424,11/6/21
40204,2563,2297,11/6/21
40204,1443,1242,11/6/21
40204,802,423,11/6/21
40204,1120,1055,11/6/21
40204,14714,9328,11/6/21
40207,4387,3968,11/6/21
40207,8561,7492,11/6/21
40207,4295,1552,11/6/21
40207,4174,3524,11/6/21
40207,30228,20721,11/6/21
40207,1994,1543,11/6/21
40228,1752,1700,11/6/21
40228,15927,10524,11/6/21
40228,1257,841,11/6/21
40228,3497,3405,11/6/21
40228,1745,1705,11/6/21
40228,2352,842,11/6/21
40218,3453,2777,11/6/21
40218,5759,1280,11/6/21
40218,2749,1280,11/6/21
40218,2711,2338,11/6/21
40218,6164,5115,11/6/21
40218,33668,17160,11/6/21
40203,2761,320,11/6/21
40203,1271,320,11/6/21
40203,3462,2355,11/6/21
40203,1387,951,11/6/21
40203,17815,7030,11/6/21
40203,2075,1404,11/6/21
40202,458,95,11/6/21
40202,800,641,11/6/21
40202,1171,925,11/6/21
40202,371,284,11/6/21
40202,7194,4140,11/6/21
40202,287,95,11/6/21
40241,4600,1821,11/6/21
40241,4184,3271,11/6/21
40241,2246,1815,11/6/21
40241,8463,7336,11/6/21
40241,4279,4065,11/6/21
40241,30057,20458,11/6/21
40242,1396,1176,11/6/21
40242,2675,2441,11/6/21
40242,11073,6701,11/6/21
40242,1279,1265,11/6/21
40242,1731,520,11/6/21
40242,756,519,11/6/21
40242,1396,1176,11/6/21
40242,2675,2441,11/6/21
40242,11073,6701,11/6/21
40242,1279,1265,11/6/21
40242,1731,520,11/6/21
40242,756,519,11/6/21
40222,1469,1063,11/6/21
40222,2851,2126,11/6/21
40222,6256,4952,11/6/21
40222,3405,2826,11/6/21
40222,22236,14312,11/6/21
40222,2992,1065,11/6/21
40291,6716,1885,11/6/21
40291,3523,1883,11/6/21
40291,4528,4033,11/6/21
40291,4372,4053,11/6/21
40291,37812,23044,11/6/21
40291,8900,8086,11/6/21
40243,1678,1839,11/6/21
40243,849,562,11/6/21
40243,1264,1155,11/6/21
40243,10485,7542,11/6/21
40243,1776,562,11/6/21
40243,2942,2994,11/6/21
40299,41463,25962,11/6/21
40299,4154,2178,11/6/21
40299,5144,4463,11/6/21
40299,4613,4352,11/6/21
40299,9757,8815,11/6/21
40299,7986,2179,11/6/21
40245,2927,3445,11/6/21
40245,7137,2417,11/6/21
40245,3601,2415,11/6/21
40245,4405,3349,11/6/21
40245,34529,22980,11/6/21
40245,7332,6794,11/6/21
40067,1368,14,11/6/21
40067,6036,26,11/6/21
40023,1251,260,11/6/21
40023,627,260,11/6/21
40023,1145,966,11/6/21
40023,394,385,11/6/21
40023,751,581,11/6/21
40023,5372,3049,11/6/21
40023,1251,260,11/6/21
40023,627,260,11/6/21
40023,1145,966,11/6/21
40023,394,385,11/6/21
40023,751,581,11/6/21
40023,5372,3049,11/6/21
40041,326,343,11/6/21
40041,53,25,11/6/21
40041,379,368,11/6/21
40041,379,383,11/6/21